Map,5,"Cathedral",120,100,
Size,100,70,
NameT[0],"Grass",
WallT[0],0,000000FF,"",
DoorT[0],0,000000FF,"","",
FloorT[0],2,32CD32FF,"PNG/FloorTile1.png",
CostT[0],10,100,
NameT[1],"Indoor",
WallT[1],0,000000FF,"",
DoorT[1],0,000000FF,"","",
FloorT[1],2,DEB887FF,"PNG/FloorTile1.png",
CostT[1],10,200,
NameT[2],"Room",
WallT[2],0,000000FF,"",
DoorT[2],0,000000FF,"","",
FloorT[2],2,B5651DFF,"PNG/FloorTile1.png",
CostT[2],10,100,
NameT[3],"Water",
WallT[3],0,000000FF,"",
DoorT[3],0,000000FF,"","",
FloorT[3],0,0000FFFF,"",
CostT[3],40,100,
NameT[4],"Outdoor",
WallT[4],0,000000FF,"",
DoorT[4],0,000000FF,"","",
FloorT[4],0,F5DEB3FF,"",
CostT[4],10,200,
NameT[5],"Thick Wall",
WallT[5],0,000000FF,"",
DoorT[5],0,000000FF,"","",
FloorT[5],0,2F4F4FFF,"",
CostT[5],50,50,
NameT[6],"Lawn",
WallT[6],0,000000FF,"",
DoorT[6],0,000000FF,"","",
FloorT[6],0,7CFC00FF,"",
CostT[6],20,50,
NameT[7],"Wild Vegetation",
WallT[7],0,000000FF,"",
DoorT[7],0,000000FF,"","",
FloorT[7],0,006400FF,"",
CostT[7],20,50,
NameT[8],"Rooftop",
WallT[8],0,000000FF,"",
DoorT[8],0,000000FF,"","",
FloorT[8],0,FF0000FF,"",
CostT[8],20,50,
# ,   0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50,  51,  52,  53,  54,  55,  56,  57,  58,  59,  60,  61,  62,  63,  64,  65,  66,  67,  68,  69,  70,  71,  72,  73,  74,  75,  76,  77,  78,  79,  80,  81,  82,  83,  84,  85,  86,  87,  88,  89,  90,  91,  92,  93,  94,  95,  96,  97,  98,  99
 0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 1,XXXX,XXXX,XXXX,XXXX,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,2000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7404,7404,7404,7404,7404,7404,XXXX,XXXX,XXXX,XXXX
 2,XXXX,XXXX,XXXX,XXXX,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7202,2A0A,7808,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7202,4909,4505,4505,4505,4505,2505,XXXX,XXXX,XXXX,XXXX
 3,XXXX,XXXX,XXXX,XXXX,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7004,7206,2A0A,780C,7004,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7404,7404,7404,7000,7000,7000,7000,7000,7000,7000,7000,7000,7004,7004,7206,4A0A,190D,1105,1105,1101,1101,XXXX,XXXX,XXXX,XXXX
 4,XXXX,XXXX,XXXX,XXXX,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7002,8009,8003,200A,8009,8003,7008,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7202,4909,4101,4303,7808,7000,7000,7000,7000,7000,7000,7000,7006,8009,8005,8007,400A,8009,8001,8003,1008,7000,XXXX,XXXX,XXXX,XXXX
 5,XXXX,XXXX,XXXX,XXXX,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7406,800C,8006,200A,800C,8006,740C,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7404,7606,4808,4000,4202,7C0C,7404,7404,7404,7404,7404,7404,7406,8009,8006,4009,4001,4002,8008,8000,8002,1008,7000,XXXX,XXXX,XXXX,XXXX
 6,XXXX,XXXX,XXXX,XXXX,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4001,4001,4000,4001,4001,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4000,4000,4000,4101,4101,4101,4101,4101,4101,4101,4103,800A,400D,4004,4004,4002,800C,8004,8006,1008,7000,XXXX,XXXX,XXXX,XXXX
 7,XXXX,XXXX,XXXX,XXXX,4404,4404,4404,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4004,4004,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4000,4000,4004,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4004,4000,4000,4000,4004,4004,4002,800C,4005,4005,4005,4002,4009,4001,4003,1008,7000,XXXX,XXXX,XXXX,XXXX
 8,XXXX,XXXX,XXXX,XXXX,4101,4101,4101,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4002,4009,4001,4003,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4004,4004,4006,200B,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4006,500F,400C,4004,4006,500D,5007,4008,4001,0001,0001,0003,400A,4008,4000,4002,1008,7000,XXXX,XXXX,XXXX,XXXX
 9,XXXX,XXXX,XXXX,XXXX,0000,0000,0000,0000,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0000,0002,4008,4002,200E,1009,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1003,100C,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1003,4009,4000,4000,0000,0000,0002,400A,4008,4000,4002,1008,7000,XXXX,XXXX,XXXX,XXXX
10,XXXX,XXXX,XXXX,XXXX,0000,0000,0000,0202,0909,0101,0101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1501,1101,1101,1101,1101,1101,1101,1101,1101,1101,1303,0C0C,0406,400C,4004,4027,1088,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1002,500B,1008,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1002,4008,4002,400A,0008,0000,0002,400A,4008,4000,4002,1008,7000,XXXX,XXXX,XXXX,XXXX
