Map,7,"Abbey Depths",120,100,
Size,100,80,
NameT[0],"Grass",
WallT[0],0,000000FF,"",
DoorT[0],0,000000FF,"","",
FloorT[0],2,32CD32FF,"PNG/FloorTile1.png",
CostT[0],10,100,
NameT[1],"Indoor",
WallT[1],0,000000FF,"",
DoorT[1],0,000000FF,"","",
FloorT[1],2,DEB887FF,"PNG/FloorTile1.png",
CostT[1],10,200,
NameT[2],"Room",
WallT[2],0,000000FF,"",
DoorT[2],0,000000FF,"","",
FloorT[2],2,B5651DFF,"PNG/FloorTile1.png",
CostT[2],10,100,
NameT[3],"Water",
WallT[3],0,000000FF,"",
DoorT[3],0,000000FF,"","",
FloorT[3],0,0000FFFF,"",
CostT[3],40,100,
NameT[4],"Outdoor",
WallT[4],0,000000FF,"",
DoorT[4],0,000000FF,"","",
FloorT[4],0,F5DEB3FF,"",
CostT[4],10,200,
NameT[5],"Thick Wall",
WallT[5],0,000000FF,"",
DoorT[5],0,000000FF,"","",
FloorT[5],0,2F4F4FFF,"",
CostT[5],50,50,
NameT[6],"Lawn",
WallT[6],0,000000FF,"",
DoorT[6],0,000000FF,"","",
FloorT[6],0,7CFC00FF,"",
CostT[6],20,50,
NameT[7],"Wild Vegetation",
WallT[7],0,000000FF,"",
DoorT[7],0,000000FF,"","",
FloorT[7],0,006400FF,"",
CostT[7],20,50,
NameT[8],"Rooftop",
WallT[8],0,000000FF,"",
DoorT[8],0,000000FF,"","",
FloorT[8],0,FF0000FF,"",
CostT[8],20,50,
NameT[9],"Stairs-Horizontal",
WallT[9],0,000000FF,"",
DoorT[9],0,000000FF,"","",
FloorT[9],1,FF0000FF,"GIMP/stairs_horizontal.png",
CostT[9],20,50,
NameT[10],"Stairs-Vertical",
WallT[10],0,000000FF,"",
DoorT[10],0,000000FF,"","",
FloorT[10],1,FF0000FF,"GIMP/stairs_vertical.png",
CostT[10],20,50,
# ,   0,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50,  51,  52,  53,  54,  55,  56,  57,  58,  59,  60,  61,  62,  63,  64,  65,  66,  67,  68,  69,  70,  71,  72,  73,  74,  75,  76,  77,  78,  79,  80,  81,  82,  83,  84,  85,  86,  87,  88,  89,  90,  91,  92,  93,  94,  95,  96,  97,  98,  99
 0,030000,030000,030000,030000,030004,030004,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030004,030004,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,XXXX,XXXX,XXXX,XXXX
 1,030000,030000,030000,030002,010009,010003,03000C,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030004,030004,030004,030004,030000,030000,030004,030004,030004,030004,030004,030004,030000,030000,030000,030000,030002,010009,010003,030008,030000,030000,030000,030000,030000,030000,030004,030004,030004,030004,030004,030004,030000,030000,030000,030000,030000,030004,030004,030004,030000,030000,030000,030000,030000,030004,030004,030004,030004,030004,030000,030000,030000,030000,030000,030000,030000,030000,030004,030004,030004,030004,030004,030000,030000,030000,030000,030000,030000,030000,XXXX,XXXX,XXXX,XXXX
 2,030000,030000,030000,030002,01004C,010046,05000B,03000C,030004,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030000,030004,030004,030004,030006,050009,050001,050001,050003,03000C,030006,050009,050001,050001,050001,050001,050003,03000C,030004,030004,030004,040002,01000C,010046,040008,030000,030004,030004,030004,030004,030006,050009,050001,050001,050001,050001,050003,03000C,030004,030004,030004,030006,050009,050001,050003,03000C,030004,030004,030004,030006,050009,050001,050001,050001,050003,030008,030000,030000,030000,030000,030000,030000,030006,050009,050001,050001,050001,050003,030008,030000,030000,030000,030000,030000,030000,XXXX,XXXX,XXXX,XXXX
 3,030000,030000,030000,030206,040819,040213,050C0C,050405,050007,010008,010000,010000,030000,030000,030000,030000,030004,030004,030004,030004,030004,030006,050009,050001,050001,050001,050000,050000,050000,050000,050001,050001,050000,050000,050000,050000,050000,050000,050001,050001,050001,050003,040008,040001,040015,040004,040006,050009,050001,050001,050001,050001,050000,050000,050000,050000,050000,050000,050001,050001,050001,050001,050001,050000,050000,050000,050001,050001,050001,050001,050001,050000,050000,050000,050000,050002,03000C,030000,030000,030000,030000,030004,030006,050009,050000,050000,050000,050000,050002,03000C,030004,030000,030000,030000,030000,030000,XXXX,XXXX,XXXX,XXXX
 4,030000,030000,030002,05020B,040C0C,040404,0A0505,080303,010809,010004,010004,010000,010000,010000,010000,010002,050009,050001,050001,050001,050001,050001,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050002,040008,040006,050009,050001,050001,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050003,03000C,030004,030004,030006,050009,050001,050000,050000,050000,050000,050000,050000,050001,050003,03000C,030004,030004,030004,030004,XXXX,XXXX,XXXX,XXXX
 5,030000,030000,010002,05000C,050105,050105,050307,090A0A,01080A,050009,050003,01000C,010000,010000,010000,010006,050008,050004,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050002,09000A,050009,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050001,050001,050001,050001,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050001,050001,050001,050001,050001,XXXX,XXXX,XXXX,XXXX
 6,030000,010000,010000,010005,010005,010005,010005,010004,010006,050008,050000,050003,010008,010004,010002,05000D,050006,07000B,05000C,050004,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050004,050006,09000A,050008,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,XXXX,XXXX,XXXX,XXXX
 7,030000,010000,010002,050009,050001,050001,050001,050001,050001,050000,050000,050006,07000A,05000F,070008,070001,070001,070000,070001,070003,05000C,050004,050004,050004,050000,050000,050000,050004,050004,050004,050004,050004,050000,050000,050000,050000,050000,050000,050000,050002,080009,0A0005,080006,050008,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050004,050004,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050000,050004,050004,050004,050004,XXXX,XXXX,XXXX,XXXX
 8,030000,010000,010006,050008,050000,050000,050000,050000,050000,050004,050006,070009,070000,070001,070000,070000,070000,070000,070000,070000,070001,070001,070001,070003,05000C,050004,050006,070009,070001,070001,070001,070003,05000C,050004,050004,050004,050000,050000,050000,050006,09000A,05000D,050005,050004,050004,050000,050000,050000,050000,050000,050000,050000,050000,050000,050004,050004,050004,050004,050004,050004,050000,050000,050004,050004,050004,050004,050004,050004,050004,050004,050004,050000,050002,070009,070003,05000C,050004,050004,050004,050004,050004,050000,050000,050000,050000,050004,050004,050004,050004,050004,050004,050006,070009,070001,070001,070003,XXXX,XXXX,XXXX,XXXX
 9,030000,010006,050009,050000,050000,050000,050004,050004,050006,070009,070001,070000,070000,070000,070000,070000,070000,070000,070000,070000,070000,070000,070000,070000,070001,070001,070001,070000,070000,070000,070000,070000,070001,070001,070001,070003,05000C,050004,050006,070009,070000,070001,070001,070001,070003,05000C,050004,050004,050000,050000,050004,050004,050004,050006,070009,070001,070001,070001,070001,070003,05000C,050006,070009,070001,070001,070001,070001,070001,070001,070001,070003,05000C,050006,070008,070000,070001,070001,070001,070001,070001,070003,05000C,050004,050004,050006,070009,070001,070001,070001,070001,070001,070001,070000,070000,070000,070002,XXXX,XXXX,XXXX,XXXX
