Map,6,"Village",
Size,33,64,
NameT[1],"Path",
WallT[1],0,000000FF,"",
DoorT[1],0,000000FF,"","",
FloorT[1],2,606060FF,"PNG/FloorTile1.png",
NameT[2],"Room",
WallT[2],0,000000FF,"",
DoorT[2],0,000000FF,"","",
FloorT[2],2,B5651DFF,"PNG/FloorTile1.png",
NameT[3],"Water",
WallT[3],0,000000FF,"",
DoorT[3],0,000000FF,"","",
FloorT[3],0,0000FFFF,"",
# , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
 0,2009,2001,2001,2003,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 1,2008,2000,2000,2002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 2,2008,2000,2000,2002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 3,200C,2004,2004,2046,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 4,XXXX,XXXX,1001,1011,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
 5,XXXX,XXXX,1000,1000,1004,1004,1004,1004,1004,1044,1004,1004,1000,1004,1000,1004,1000,1004,1004,1004,1004,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
 6,XXXX,XXXX,1000,1002,2009,2001,2003,2009,2001,2011,2001,2003,100A,0009,0000,0001,0002,202D,20A1,2087,000B,1008,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 7,XXXX,XXXX,1000,1002,2008,2000,2002,2008,2000,2000,2000,2002,1008,0000,0000,0000,0002,202D,20A0,2087,0008,1000,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 8,XXXX,XXXX,1000,1002,200C,2004,2046,2008,2000,2000,2000,2002,100A,0008,0000,0000,0002,202D,20A0,2087,000A,1008,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
 9,XXXX,XXXX,1000,1002,2009,2003,201B,2008,2000,2000,2000,2002,1008,0000,0000,0000,0000,2005,2000,2005,0000,1000,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
10,XXXX,XXXX,1000,1002,2008,2002,200A,2008,2000,2000,2004,2006,100A,0008,0000,0000,0002,202D,2082,200B,000A,1008,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
11,XXXX,XXXX,1000,1002,2008,2022,208A,200C,2004,2046,2009,2003,1008,0000,0000,0000,0002,202D,20A0,2082,0008,1000,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
12,XXXX,XXXX,1000,1002,200C,2006,206E,208D,2005,2037,208C,2006,100A,000C,0000,0004,0002,202D,2086,200E,000E,1008,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
13,XXXX,XXXX,1000,1000,1005,1005,1015,1005,1005,1005,1005,1005,1004,1005,1004,1005,1004,1005,1005,1005,1005,1000,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
14,XXXX,XXXX,1000,1002,2009,2001,2001,2001,2003,2009,2001,2001,2001,2003,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
15,XXXX,XXXX,1000,1002,2008,2000,2000,2000,2002,2008,2000,2000,2000,2002,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
16,XXXX,XXXX,1000,1002,2008,2000,2000,2000,2002,2008,2000,2000,2000,2002,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
17,XXXX,XXXX,1000,1002,200C,2004,2044,2004,2006,000C,2044,2004,2004,2006,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
18,XXXX,XXXX,1000,1002,200D,2005,2015,2005,2045,2005,2015,2005,2005,2003,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
19,XXXX,XXXX,1000,1002,2009,2001,2001,2001,2011,2003,2009,2001,2023,208A,3000,3000,3000,3000,3000,3000,3000,1800,1000,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX
