Map,2,"Castle Maze",100,100
Size,23,23,
NameT[0],"Room",
WallT[0],0,000000FF,"",
DoorT[0],0,000000FF,"","",
FloorT[0],2,B5651DFF,"PNG/FloorTile1.png",
CostT[0],10,100,
# , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22
 0,0009,0001,0001,0003,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,0009,0001,0001,0003
 1,0008,0000,0000,0002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,0008,0000,0000,0002
 2,0008,0000,0000,0002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,0008,0000,0000,0002
 3,000C,0004,0004,0066,008D,0005,0005,0005,0045,0005,0045,0045,0005,0005,0005,0005,0005,0005,0027,00CC,0004,0004,0006
 4,XXXX,XXXX,XXXX,001B,0009,0001,0003,0009,0011,0003,001B,001B,002F,00CD,0005,0005,0003,000D,0003,001B,XXXX,XXXX,XXXX
 5,XXXX,XXXX,XXXX,002A,008C,0004,0006,000C,0004,0026,008A,000C,0047,001B,004D,0007,006E,008D,0006,000A,XXXX,XXXX,XXXX
 6,XXXX,XXXX,XXXX,000A,0009,0003,0009,0001,0001,0001,0002,000B,001D,0006,0019,0003,001D,0003,000B,000A,XXXX,XXXX,XXXX
 7,XXXX,XXXX,XXXX,000A,000C,0046,0008,0000,0000,0000,0002,0008,0005,0027,008A,004C,0007,000A,000A,000A,XXXX,XXXX,XXXX
 8,XXXX,XXXX,XXXX,000A,0009,0013,0008,0000,0000,0000,0002,004E,000D,0047,000A,003B,008D,0006,004E,000A,XXXX,XXXX,XXXX
 9,XXXX,XXXX,XXXX,000A,000C,0046,000C,0004,0004,0004,0002,001D,0007,001B,000E,000A,000B,004D,0017,000A,XXXX,XXXX,XXXX
10,XXXX,XXXX,XXXX,002A,008D,0015,0005,0001,0005,0027,008A,004D,0005,0004,0005,0006,000A,001D,0003,000A,XXXX,XXXX,XXXX
11,XXXX,XXXX,XXXX,000A,0009,0001,0003,000A,0009,0003,000A,005D,0003,0009,0001,0003,000C,0003,000A,000A,XXXX,XXXX,XXXX
12,XXXX,XXXX,XXXX,000A,0008,0000,0002,002A,0088,0002,000A,001B,000A,0008,0000,0002,002B,008E,000A,000A,XXXX,XXXX,XXXX
13,XXXX,XXXX,XXXX,000A,0008,0000,0002,004E,000C,0006,000A,000A,000A,004C,0004,0006,000C,0005,0046,000A,XXXX,XXXX,XXXX
14,XXXX,XXXX,XXXX,000A,0008,0000,0022,0099,0001,0003,000A,000E,0008,0017,0009,0005,0047,000D,0013,000A,XXXX,XXXX,XXXX
15,XXXX,XXXX,XXXX,000A,000C,0004,0006,000C,0004,0006,000A,000B,002E,008D,0006,000B,0019,0003,000A,000A,XXXX,XXXX,XXXX
16,XXXX,XXXX,XXXX,000A,0009,0001,0003,0009,0001,0003,000A,004E,000D,0005,0027,008A,000A,004E,000A,000A,XXXX,XXXX,XXXX
17,XXXX,XXXX,XXXX,000A,0008,0000,0002,0008,0000,0002,000A,001B,0009,0005,0047,002E,008A,001D,0002,000A,XXXX,XXXX,XXXX
18,XXXX,XXXX,XXXX,004E,004C,0004,0006,000C,0044,0006,004E,002E,008E,002F,009D,0005,0004,0007,004E,004E,XXXX,XXXX,XXXX
19,0009,0001,0001,0033,009D,0005,0005,0005,0015,0005,0015,0005,0005,0005,0005,0005,0005,0005,0037,0099,0001,0001,0003
20,0008,0000,0000,0002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,0008,0000,0000,0002
21,0008,0000,0000,0002,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,0008,0000,0000,0002
22,000C,0004,0004,0006,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,000C,0004,0004,0006
